DATE;REPORTTPYE;HOURLYDRYBULBTEMPF;HOURLYRelativeHumidity;HOURLYWindSpeed
01.01.2015 0:54;FM-15;22;50;10
01.01.2015 1:00;FM-12;22;50;10
01.01.2015 1:54;FM-15;22;50;10
01.01.2015 2:54;FM-15;22;50;11
01.01.2015 3:54;FM-15;24;46;13
01.01.2015 4:00;FM-12;24;46;13
01.01.2015 4:54;FM-15;22;52;15
01.01.2015 5:54;FM-15;23;48;17
01.01.2015 6:54;FM-15;23;50;14
01.01.2015 7:00;FM-12;23;50;14
01.01.2015 7:54;FM-15;22;52;13
01.01.2015 8:54;FM-15;25;44;16
01.01.2015 9:54;FM-15;28;39;14
01.01.2015 10:00;FM-12;28;39;14
01.01.2015 10:54;FM-15;30;34;18
01.01.2015 11:54;FM-15;31;35;17
01.01.2015 12:54;FM-15;32;33;16
01.01.2015 13:00;FM-12;32;33;16
01.01.2015 13:54;FM-15;33;32;14
01.01.2015 14:54;FM-15;33;33;16
01.01.2015 15:54;FM-15;31;36;13
01.01.2015 16:00;FM-12;31;36;13
01.01.2015 16:54;FM-15;31;38;14
01.01.2015 17:54;FM-15;30;41;16
01.01.2015 18:54;FM-15;31;40;15
01.01.2015 19:00;FM-12;31;40;15
01.01.2015 19:54;FM-15;30;41;13
01.01.2015 20:54;FM-15;30;47;11
01.01.2015 21:54;FM-15;31;47;11
01.01.2015 22:00;FM-12;31;47;11
01.01.2015 22:54;FM-15;31;52;18
01.01.2015 23:54;FM-15;31;54;14
01.01.2015 23:59;SOD;NA;NA;NA
02.01.2015 0:54;FM-15;33;49;13
02.01.2015 1:00;FM-12;33;49;13
02.01.2015 1:54;FM-15;33;49;11
02.01.2015 2:54;FM-15;32;52;10
02.01.2015 3:54;FM-15;32;52;11
02.01.2015 4:00;FM-12;32;52;11
02.01.2015 4:54;FM-15;32;50;11
02.01.2015 5:54;FM-15;34;46;13
02.01.2015 6:54;FM-15;34;48;15
02.01.2015 7:00;FM-12;34;48;15
02.01.2015 7:54;FM-15;33;49;11
02.01.2015 8:54;FM-15;36;46;11
02.01.2015 9:54;FM-15;38;43;16
02.01.2015 10:00;FM-12;38;43;16
02.01.2015 10:54;FM-15;39;39;17
02.01.2015 11:54;FM-15;38;43;15
02.01.2015 12:54;FM-15;40;40;18
02.01.2015 13:00;FM-12;40;40;18
02.01.2015 13:54;FM-15;40;38;14
02.01.2015 14:54;FM-15;39;41;14
02.01.2015 15:54;FM-15;38;41;16
02.01.2015 16:00;FM-12;38;41;16
02.01.2015 16:54;FM-15;36;44;14
02.01.2015 17:54;FM-15;35;42;11
02.01.2015 18:54;FM-15;34;44;11
02.01.2015 19:00;FM-12;34;44;11
02.01.2015 19:54;FM-15;34;44;11
02.01.2015 20:54;FM-15;33;45;10
02.01.2015 21:54;FM-15;33;43;13
02.01.2015 22:00;FM-12;33;43;13
02.01.2015 22:54;FM-15;33;43;8
02.01.2015 23:54;FM-15;31;43;8
02.01.2015 23:59;SOD;NA;NA;NA
03.01.2015 0:54;FM-15;27;51;9
03.01.2015 1:00;FM-12;27;51;9
03.01.2015 1:54;FM-15;26;51;3
03.01.2015 2:54;FM-15;24;55;6
03.01.2015 3:54;FM-15;24;55;8
03.01.2015 4:00;FM-12;24;55;8
03.01.2015 4:54;FM-15;24;52;8
03.01.2015 5:54;FM-15;23;57;7
03.01.2015 6:54;FM-15;23;55;8
03.01.2015 7:00;FM-12;23;55;8
03.01.2015 7:54;FM-15;23;55;5
03.01.2015 8:54;FM-15;24;50;5
03.01.2015 9:54;FM-15;26;51;0
03.01.2015 10:00;FM-12;26;51;0
03.01.2015 10:54;FM-15;28;51;5
03.01.2015 11:54;FM-15;29;54;5
03.01.2015 12:54;FM-15;29;56;10
03.01.2015 13:00;FM-12;29;56;10
03.01.2015 13:54;FM-15;30;56;11
03.01.2015 14:54;FM-15;30;56;10
03.01.2015 15:54;FM-15;30;58;10
03.01.2015 16:00;FM-12;30;58;10
03.01.2015 16:54;FM-15;31;61;15
03.01.2015 17:20;FM-16;30;69;16
03.01.2015 17:54;FM-15;30;82;15
03.01.2015 18:16;FM-16;30;86;14
03.01.2015 18:29;FM-16;30;93;18
03.01.2015 18:37;FM-16;30;93;14
03.01.2015 18:54;FM-15;31;96;18
03.01.2015 19:00;FM-12;31;96;18
03.01.2015 19:26;FM-16;32;93;16
03.01.2015 19:44;FM-16;34;93;20
03.01.2015 19:54;FM-15;33;96;22
03.01.2015 20:43;FM-16;34;93;17
03.01.2015 20:54;FM-15;34;97;16
03.01.2015 21:07;FM-16;34;100;15
